rank,title,artist,release,summary,metascore,userscore
99,For Those I Love,For Those I Love,"March 26, 2021",This is the debut full-length release for the solo project of Dublin-based producer David Balfe.,89,7.7
100,Shortly After Takeoff,BC Camplight,"April 24, 2020","The final release for Brian Christinzio's ""Manchester Trilogy"" features contributions from Adam Dawson and Francesca Pidgeon.",89,8.1
101,Safe In The Hands Of Love,Yves Tumor,"September 5, 2018",The surprise release from the experimental artist from Tennessee features a guest appearance from James K.,89,8.0
102,The Fade in Time,Sam Lee,"March 16, 2015",The second full-length release for the Mercury-nominated singer-songwriter was produced by Arthur Jeffes and Jamie Orchard-Lisle.,89,5.6
103,Hand.Cannot.Erase.,Steven Wilson,"March 3, 2015",The fourth solo release for the British artist was inspired by a news article about the discovery of a young woman's dead body in her apartment three years after her death.,89,8.7
104,Coloring Book [Mixtape],Chance the Rapper,"May 13, 2016","The third mixtape from the Chicago rapper (an Apple Music exclusive for two weeks) features gospel elements as well as guest appearances from such artists as 2 Chainz, Justin Bieber, Francis and the Lights, Future, Jay Electronica, Lil Wayne, Kanye West, and Young Thug.",89,8.3
105,Big Fish Theory,Vince Staples,"June 23, 2017","The second full-length studio release for the rapper features contributions from such artists as A$AP Rocky, Damon Albarn, Kilo Kish, Juicy J, Ty Dolla Signn, and Bon Iver’s Justin Vernon.",89,8.3
106,Ignorance,The Weather Station,"February 5, 2021","The fifth full-length studio release Tamara Lindeman project was co-produced with Marcus Paquin, who also mixed the record.",89,8.1
107,The  Order of Time,Valerie June,"March 10, 2017",The fifth full-length release for the Brooklyn-based singer-songwriter features guest vocals from Norah Jones.,89,7.9
108,Fed,Plush,"August 25, 2008","Originally released in Japan, the sophomore album for Liam Hayes as Plush is finally released wide.",89,7.5
109,Golden Hour,Kacey Musgraves,"March 30, 2018",The seventh full-length release for the country singer-songwriter was co-produced with Daniel Tashian and Ian Fitchuk.,89,8.7
110,Chris,Christine and the Queens,"September 21, 2018",The second full-length release for the French pop artist features a guest appearance from Dâm-Funk.,89,7.9
111,A Seat at the Table,Solange,"September 30, 2016","The third full-length studio release for the R&B singer features guest appearances from Nia Andrews, BJ The Chicago Kid, The Dream, Kelela, Lil Wayne, Q-Tip, Kelly Rowland, Sampha and",89,8.4
112,Last Exit,Junior Boys,"September 21, 2004",This is the first full-length release from the hard-to-pin down Canadian synth-pop trio led by Jeremy Greenspan.,89,8.2
113,Pink Noise,Laura Mvula,"July 2, 2021",The third full-length studio release for the British artist features a guest appearance from Simon Neil.,89,8.5
114,When I Get Home,Solange,"March 1, 2019",The fourth full-length album for the R&B singer is a surprise release.,89,7.5
115,We Are Not Your Kind,Slipknot,"August 9, 2019",The sixth full-length studio release for the metal band was produced by Greg Fidelman.,89,8.5
116,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,Fiona Apple,"June 19, 2012",The singer-songwriter began recording her fourth studio album in secret in 2008 or 2009.,89,9.0
117,Merriweather Post Pavilion,Animal Collective,"January 20, 2009",The ninth album from the rock group was produced by Ben Allen.,89,8.5
118,Songs For The Deaf,Queens of the Stone Age,"August 27, 2002","Stoner metal is back in the form of the third LP from Queens of the Stone Age, who are supplemented for this release (and supporting tour) by drummer Dave Grohl (Foo Fighters, Nirvana) and former Screaming Trees vocalist Mark Lanegan.",89,8.9
119,Bright Green Field,Squid,"May 7, 2021",The debut full-length release for the British post-punk band was produced by Dan Carey and features a guest appearance from Martha Skye Murphy.,89,8.6
120,Wearemonster,Isolée,"June 6, 2005","Frankfurt, Germany IDM artist Rajko Mueller (who records under the name Isolee) drew critical acclaim for this, his second LP and first in five years.",89,8.4
121,Ali & Toumani,Ali Farka Toure And Toumani Diabate,"February 23, 2010","Recorded in 2005, this is the second album from Ali Farka Toure and Toumani Diabate, who won a Grammy for their previous effort together. Ali Farka Toure passed away from cancer in 2006.",89,8.5
122,They're Calling Me Home,Rhiannon Giddens,"April 9, 2021",The second full-length release from Rhiannon Giddens with Francesco Turrisi was recorded over six days in Ireland during the COVID-19 pandemic.,89,tbd
123,Hell Hath No Fury,Clipse,"November 28, 2006",This long-delayed second album for Virginia brothers Malice and Pusha T was produced in full by The Neptunes.,89,8.3
124,The Greatest Story Never Told,Saigon,"February 15, 2011","The long-awaited debut album by the Brooklyn-based rapper is produced by Just Blaze and features guest appearances from Q-Tip, Jay-Z and other notable artists.",89,8.3
125,Push Barman To Open Old Wounds,Belle and Sebastian,"May 24, 2005",This 2-disc set collects 25 non-LP tracks that previously appeared on the band's early singles and EPs for Jeepster.,89,8.8
126,"Women in Music, Pt. III",HAIM,"June 26, 2020","The third full-length release for the Los Angeles trio of sisters was produced with Rostam Batmanglij, Ariel Rechtshaid and Buddy Ross.",89,8.7
127,Same Trailer Different Park,Kacey Musgraves,"March 19, 2013","After three self-released albums, the country singer releases her first major label debut produced by Shane McAnally and Luke Laird.",89,8.6
128,We're New Again: A Reimagining by Makaya McCraven,Gil Scott-Heron,"February 7, 2020","The final release of Gil Scott-Heron is reimagined by Makaya McCraven with contributions from Jeff Parker, Junius Paul, Brandee Younger, as well as samples from Agnes Zimondi and the Stephen McCraven Quartet.",89,8.0
129,folklore,Taylor Swift,"July 24, 2020","The 16-track surprise release from the pop artist features contributions from Jack Antonoff, Bon Iver, William Bowery, and Aaron Dessner of the National.",88,9.1
130,Chutes Too Narrow,The Shins,"October 21, 2003","Phil Ek produced this sophomore effort for the Albuquerque-based group led by James Mercer (also of Flake), who wowed critics in 2001 with their 1960s-flavored debut 'Oh, Inverted World.'",88,8.9
131,"Yours, Mine & Ours",Pernice Brothers,"May 20, 2003",Joe Pernice and company return with ten new indie-pop gems.,88,8.4
132,To Be Kind,Swans,"May 13, 2014",The third release since the Michael Gira-led band reformed in 2010 was recorded by John Congleton and has a run time of over two hours.,88,8.7
133,Valentine,Snail Mail,"November 5, 2021",The second full-length release for the Lindsey Jordan's indie rock project was co-produced by Brad Cook.,88,8.4
134,War Music,Refused,"October 18, 2019",The fifth full-length studio release for the Swedish hardcore punk band was produced by Martin Ehrencrona.,88,8.5
135,American Band,Drive-By Truckers,"September 30, 2016","The 11th full-length release for the Southern rock band formed by Mike Cooley and Patterson Hood features songs about such topics as immigration, gun violence, politics, and race.",88,8.0
136,Hypermagic Mountain,Lightning Bolt,"October 18, 2005",The abrasive bass/drums duo of Brian Gibson and Brian Chippendal return with a follow-up to 2003's 'Wonderful Rainbow.',88,6.6
